c_occu_jail,c_occu_wr,c_occu_hd,c_vio,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,166,174,254,80,80,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,129,167,174,254,80,80,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,174,254,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,175,255,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,176,256,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,177,257,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,178,258,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,179,259,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,180,260,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,181,261,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,182,262,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,183,263,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,130,168,184,264,80,80,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,80,80,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,81,81,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,82,82,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,83,83,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,84,84,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,85,85,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,179,256,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,180,257,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,181,258,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,182,259,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,183,260,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,184,261,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,168,185,262,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,125,169,172,258,86,86,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,126,170,172,258,86,86,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,171,172,258,86,86,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,172,258,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,173,259,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,174,260,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,175,261,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,176,262,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,177,263,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,178,264,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,128,172,179,265,86,86,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,86,86,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,87,87,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,88,88,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,89,89,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,90,90,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,91,91,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,127,174,179,264,92,92,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,120,172,181,267,92,92,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,121,173,181,267,92,92,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,122,174,181,267,92,92,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,92,92,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,93,93,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,94,94,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,95,95,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,96,96,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,97,97,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,98,98,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,99,99,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,123,175,181,267,100,100,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,114,176,170,260,100,100,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,115,177,170,260,100,100,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,116,178,170,260,100,100,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,170,260,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,171,261,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,172,262,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,173,263,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,174,264,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,175,265,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,176,266,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,177,267,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,178,268,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,117,179,179,269,100,100,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,177,174,263,102,102,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,111,178,174,263,102,102,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,174,263,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,175,264,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,176,265,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,177,266,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,178,267,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,179,268,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,180,269,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,181,270,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,112,179,182,271,102,102,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,101,101,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,102,102,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,103,103,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,104,104,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,105,105,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,106,106,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,107,107,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,108,108,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,109,109,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,110,110,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,111,111,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,112,112,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,113,113,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,110,180,176,273,114,114,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,180,164,268,116,116,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,101,181,164,268,116,116,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,164,268,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,165,269,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,166,270,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,167,271,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,168,272,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,169,273,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,170,274,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,171,275,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,172,276,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,173,277,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,174,278,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,175,279,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,176,280,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,177,281,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,178,282,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,182,179,283,116,116,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,98,182,172,284,116,116,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,99,183,172,284,116,116,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,116,116,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,117,117,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,118,118,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,119,119,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,120,120,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,121,121,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,184,172,284,122,122,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,98,184,165,279,123,123,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,99,185,165,279,123,123,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,186,165,279,123,123,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,101,187,165,279,123,123,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,188,165,279,123,123,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,123,123,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,124,124,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,125,125,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,126,126,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,127,127,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,128,128,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,189,165,279,129,129,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,101,189,162,280,130,130,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,102,190,162,280,130,130,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,103,191,162,280,130,130,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,130,130,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,131,131,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,132,132,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,133,133,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,134,134,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,104,192,162,280,135,135,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,192,153,273,135,135,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,96,193,153,273,135,135,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,97,194,153,273,135,135,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,98,195,153,273,135,135,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,99,196,153,273,135,135,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,197,153,273,135,135,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,197,154,274,135,135,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,197,155,275,135,135,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,197,156,276,135,135,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,100,197,157,277,135,135,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,94,196,149,278,136,136,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,149,278,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,150,279,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,151,280,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,152,281,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,153,282,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,154,283,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,155,284,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,95,197,156,285,136,136,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,91,197,149,286,136,136,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,92,198,149,286,136,136,1,1,home detention
