,ocp_jl,ocp_wr,ocp_hd  ,class_mild,need,placement
6663,474,152,458,0,1,home detention
6664,474,152,458,0,0,jail
6665,474,152,458,0,0,jail
6666,474,152,458,0,0,jail
6667,474,152,458,1,1,jail
6668,474,152,458,1,1,home detention
6669,474,152,458,1,0,jail
6670,474,152,458,1,0,jail
6671,474,152,458,1,0,jail
6672,474,152,458,1,0,jail
6673,474,152,458,1,0,home detention
6674,479,140,453,0,1,work release
6675,479,140,453,0,1,work release
6676,479,140,453,0,0,work release
6677,479,140,453,0,0,work release
6678,479,140,453,1,1,work release
6679,479,140,453,1,1,work release
6680,479,140,453,1,1,work release
6681,479,140,453,1,1,work release
6682,479,140,453,1,0,work release
6683,479,140,453,1,0,work release
6684,470,150,449,0,1,jail
6685,470,150,449,0,1,jail
6686,470,150,449,0,1,jail
6687,470,150,449,0,1,home detention
6688,470,150,449,0,0,jail
6689,470,150,449,0,0,jail
6690,470,150,449,1,1,home detention
6691,470,150,449,1,1,home detention
6692,470,150,449,1,1,home detention
6693,470,150,449,1,0,jail
6694,470,150,449,1,0,jail
6695,470,150,449,1,0,jail
6696,470,150,449,1,0,jail
6697,470,150,449,1,0,home detention
6698,477,149,445,0,1,jail
6699,477,149,445,0,0,jail
6700,477,149,445,1,1,home detention
6701,477,149,445,1,1,home detention
6702,477,149,445,1,1,home detention
6703,477,149,445,1,0,jail
6704,477,149,445,1,0,jail
6705,477,149,445,1,0,home detention
6706,475,147,448,0,1,work release
6707,475,147,448,0,0,work release
6708,475,147,448,0,0,work release
6709,475,147,448,0,0,work release
6710,475,147,448,1,1,work release
6711,475,147,448,1,1,work release
6712,475,147,448,1,0,work release
6713,475,147,448,1,0,work release
6714,475,147,448,1,0,work release
6715,475,147,448,1,0,work release
6716,470,149,442,0,1,jail
6717,470,149,442,0,1,jail
6718,470,149,442,0,1,home detention
6719,470,149,442,0,0,jail
6720,470,149,442,0,0,jail
6721,470,149,442,0,0,jail
6722,470,149,442,0,0,jail
6723,470,149,442,0,0,jail
6724,470,149,442,1,1,home detention
6725,470,149,442,1,1,home detention
6726,470,149,442,1,1,home detention
6727,470,149,442,1,0,jail
6728,470,149,442,1,0,jail
6729,470,149,442,1,0,jail
6730,470,149,442,1,0,jail
6731,470,149,442,1,0,home detention
6732,470,149,442,1,0,home detention
6733,477,144,449,0,1,work release
6734,477,144,449,0,0,work release
6735,477,144,449,0,0,work release
6736,477,144,449,0,0,work release
6737,477,144,449,1,1,work release
6738,477,144,449,1,1,work release
6739,477,144,449,1,1,work release
6740,477,144,449,1,1,work release
6741,477,144,449,1,1,work release
6742,477,144,449,1,0,work release
6743,477,144,449,1,0,work release
6744,477,144,449,1,0,work release
6745,477,144,449,1,0,work release
6746,477,144,449,1,0,work release
6747,477,144,449,1,0,work release
6748,470,160,443,0,1,jail
6749,470,160,443,0,1,home detention
6750,470,160,443,0,0,jail
6751,470,160,443,0,0,jail
6752,470,160,443,0,0,jail
6753,470,160,443,0,0,jail
6754,470,160,443,0,0,jail
6755,470,160,443,0,0,jail
6756,470,160,443,0,0,jail
6757,470,160,443,1,1,jail
6758,470,160,443,1,1,jail
6759,470,160,443,1,1,home detention
6760,470,160,443,1,0,jail
6761,470,160,443,1,0,jail
6762,470,160,443,1,0,jail
6763,470,160,443,1,0,jail
