,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0,95,95,101,145,218,222,0,1,work release
1,95,95,101,145,218,222,0,1,work release
2,95,95,101,145,218,222,0,0,work release
3,95,95,101,145,218,222,0,0,work release
4,95,95,101,145,218,222,1,1,work release
5,95,95,101,145,218,222,1,1,work release
6,95,95,101,145,218,222,1,1,work release
7,95,95,101,145,218,222,1,0,work release
8,95,95,101,145,218,222,1,0,work release
9,95,95,101,145,218,222,1,0,work release
10,95,95,101,145,218,222,1,0,work release
11,95,95,101,145,218,222,1,0,work release
12,95,95,101,145,218,222,1,0,work release
13,95,95,101,145,218,222,1,0,work release
14,95,95,101,145,218,222,1,0,work release
15,95,95,101,145,218,222,1,0,work release
16,95,95,101,145,218,222,1,0,work release
17,95,95,101,145,218,222,1,0,work release
18,95,95,118,160,217,221,0,1,jail
19,95,95,118,160,217,221,0,1,home detention
20,95,95,118,160,217,221,0,1,home detention
21,95,95,118,160,217,221,0,0,jail
22,95,95,118,160,217,221,1,1,home detention
23,95,95,118,160,217,221,1,1,home detention
24,95,95,118,160,217,221,1,0,home detention
25,96,96,118,154,221,226,0,1,jail
26,96,96,118,154,221,226,0,1,home detention
27,96,96,118,154,221,226,0,1,home detention
28,96,96,118,154,221,226,1,1,home detention
29,96,96,118,154,221,226,1,1,home detention
30,96,96,118,154,221,226,1,1,home detention
31,96,96,118,154,221,226,1,0,jail
32,96,96,118,154,221,226,1,0,jail
33,96,96,118,154,221,226,1,0,home detention
34,99,99,110,146,227,233,0,1,work release
35,99,99,110,146,227,233,0,0,work release
36,99,99,110,146,227,233,1,1,work release
37,99,99,110,146,227,233,1,1,work release
38,99,99,110,146,227,233,1,1,work release
39,99,99,110,146,227,233,1,1,work release
40,99,99,110,146,227,233,1,0,work release
41,99,99,110,146,227,233,1,0,work release
42,99,99,110,146,227,233,1,0,work release
43,99,99,110,146,227,233,1,0,work release
44,96,99,113,147,226,233,0,1,work release
45,96,99,113,147,226,233,0,1,work release
46,96,99,113,147,226,233,1,1,work release
47,96,99,113,147,226,233,1,1,work release
48,96,99,113,147,226,233,1,1,work release
49,96,99,113,147,226,233,1,1,work release
50,96,99,113,147,226,233,1,0,work release
51,96,99,113,147,226,233,1,0,work release
52,96,99,113,147,226,233,1,0,work release
53,96,99,113,147,226,233,1,0,work release
54,95,100,122,156,226,233,0,1,home detention
55,95,100,122,156,226,233,0,0,jail
56,95,100,122,156,226,233,0,0,jail
57,95,100,122,156,226,233,1,0,home detention
58,95,100,122,156,226,233,1,0,home detention
59,95,100,122,156,226,233,1,0,home detention
60,90,101,121,156,227,237,0,1,home detention
61,90,101,121,156,227,237,0,0,jail
62,90,101,121,156,227,237,1,1,jail
63,90,101,121,156,227,237,1,1,home detention
64,90,101,121,156,227,237,1,1,home detention
65,90,101,121,156,227,237,1,0,jail
66,90,101,121,156,227,237,1,0,home detention
67,93,106,115,155,225,241,0,1,home detention
68,93,106,115,155,225,241,0,1,home detention
69,93,106,115,155,225,241,1,1,jail
70,93,106,115,155,225,241,1,1,home detention
71,93,106,115,155,225,241,1,1,home detention
72,93,106,115,155,225,241,1,1,home detention
73,93,106,115,155,225,241,1,0,jail
74,93,106,109,157,229,246,0,1,home detention
75,93,106,109,157,229,246,0,1,home detention
76,93,106,109,157,229,246,0,1,home detention
77,93,106,109,157,229,246,0,1,home detention
78,93,106,109,157,229,246,0,0,home detention
79,93,106,109,157,229,246,1,1,home detention
80,93,106,109,157,229,246,1,1,home detention
81,93,106,109,157,229,246,1,1,home detention
82,93,106,109,157,229,246,1,1,home detention
83,93,106,109,157,229,246,1,1,home detention
84,93,106,109,157,229,246,1,0,jail
85,93,106,109,157,229,246,1,0,home detention
86,93,106,109,157,229,246,1,0,home detention
87,95,108,106,154,235,256,0,1,jail
88,95,108,106,154,235,256,0,1,home detention
89,95,108,106,154,235,256,0,0,jail
90,95,108,106,154,235,256,0,0,jail
91,95,108,106,154,235,256,0,0,jail
92,95,108,106,154,235,256,1,1,home detention
93,95,108,106,154,235,256,1,1,home detention
94,95,108,106,154,235,256,1,1,home detention
95,95,108,106,154,235,256,1,1,home detention
96,95,108,106,154,235,256,1,0,jail
97,95,108,106,154,235,256,1,0,jail
98,95,108,106,154,235,256,1,0,home detention
99,96,114,104,154,240,263,0,1,home detention
100,96,114,104,154,240,263,0,0,jail
101,96,114,104,154,240,263,0,0,jail
102,96,114,104,154,240,263,0,0,jail
103,96,114,104,154,240,263,1,1,jail
104,96,114,104,154,240,263,1,1,home detention
105,96,114,104,154,240,263,1,1,home detention
106,96,114,104,154,240,263,1,0,jail
107,96,114,104,154,240,263,1,0,jail
108,96,114,104,154,240,263,1,0,jail
109,96,114,104,154,240,263,1,0,home detention
110,96,114,104,154,240,263,1,0,home detention
111,99,120,97,154,243,269,0,1,jail
112,99,120,97,154,243,269,0,1,home detention
113,99,120,97,154,243,269,0,0,jail
